year,month,day,hour,open,high,low,close,adj close
2019,4,22,19,6511.085938,6516.242188,6410.039063,6414.743164,6414.743164
2019,4,23,19,6420.163086,6482.818848,6415.455078,6462.821777,6462.821777
2019,4,24,19,6460.265137,6472.527832,6433.972168,6447.884766,6447.884766
2019,4,25,19,6423.837891,6431.591797,6353.283203,6372.787109,6372.787109
2019,4,26,19,6349.923828,6401.080078,6321.660156,6401.080078,6401.080078
2019,4,29,19,6388.381836,6428.344238,6376.705078,6425.89502,6425.89502
2019,4,30,19,6437.975098,6457.821777,6428.251953,6455.352051,6455.352051
2019,5,2,19,6458.121094,6465.772949,6363.040039,6374.421875,6374.421875
2019,5,3,19,6366.75,6367.620117,6261.25,6319.458984,6319.458984
2019,5,6,19,6254.811035,6263.086914,6207.623047,6256.352051,6256.352051
2019,5,7,19,6271.961914,6310.939941,6268.319824,6297.317871,6297.317871
2019,5,8,19,6260.696777,6270.883789,6231.362793,6270.202148,6270.202148
2019,5,9,19,6242.180176,6259.626953,6195.38623,6198.804199,6198.804199
2019,5,10,19,6203.103027,6232.664063,6149.220215,6209.118164,6209.118164
2019,5,13,19,6225.39502,6238.262207,6135.395996,6135.395996,6135.395996
2019,5,14,19,6081.401855,6101.089844,6033.618164,6071.202148,6071.202148
2019,5,15,19,6091.643066,6107.439941,5980.884766,5980.884766,5980.884766
2019,5,16,19,5969.855957,6009.62793,5889.555176,5895.737793,5895.737793
2019,5,17,19,5930.269043,5936.970215,5826.868164,5826.868164,5826.868164
2019,5,20,19,5822.474121,5930.154785,5767.400879,5907.121094,5907.121094
2019,5,21,19,5925.416016,5996.540039,5925.416016,5951.37207,5951.37207
2019,5,22,19,5948.382813,5966.797852,5918.899902,5939.63623,5939.63623
2019,5,23,19,5944.032227,6044.571777,5942.171875,6032.695801,6032.695801
2019,5,24,19,6042.575195,6080.191895,6037.080078,6057.353027,6057.353027
2019,5,27,19,6056.414063,6114.530762,6054.768066,6098.974121,6098.974121
2019,5,28,19,6101.842773,6118.905762,6033.14209,6033.14209,6033.14209
2019,5,29,19,6059.530762,6112.431152,6054.570801,6104.105957,6104.105957
2019,5,31,19,6110.52002,6209.117188,6110.478027,6209.117188,6209.117188
2019,6,10,19,6277.292969,6334.64502,6276.279785,6289.609863,6289.609863
2019,6,11,19,6286.799805,6310,6255.26416,6305.992188,6305.992188
2019,6,12,19,6270.352051,6296.817871,6257.438965,6276.176758,6276.176758
2019,6,13,19,6282.60791,6284.458008,6250.117188,6273.082031,6273.082031
2019,6,14,19,6278.025879,6294.648926,6234.98584,6250.265137,6250.265137
2019,6,17,19,6259.535156,6263.499023,6190.524902,6190.524902,6190.524902
2019,6,18,19,6195.133789,6257.330078,6195.133789,6257.330078,6257.330078
2019,6,19,19,6289.452148,6339.262207,6289.452148,6339.262207,6339.262207
2019,6,20,19,6346.013184,6357.459961,6311.251953,6335.698242,6335.698242
2019,6,21,19,6343.481934,6352.528809,6269.690918,6315.436035,6315.436035
2019,6,24,19,6307.926758,6320.535156,6280.222168,6288.464844,6288.464844
2019,6,25,19,6312.101074,6327.981934,6308.00293,6320.444824,6320.444824
2019,6,26,19,6323.811035,6334.179199,6303.349121,6310.48877,6310.48877
2019,6,27,19,6324.692871,6357.928223,6320.089844,6352.709961,6352.709961
2019,6,28,19,6367.018066,6377.350098,6351.505859,6358.628906,6358.628906
2019,7,1,19,6381.181152,6395.625977,6369.192871,6379.687988,6379.687988
2019,7,2,19,6388.222168,6394.454102,6365.37207,6384.897949,6384.897949
2019,7,3,19,6362.958008,6385.373047,6334.748047,6362.62207,6362.62207
2019,7,4,19,6364.067871,6385.128906,6359.415039,6375.966797,6375.966797
2019,7,5,19,6373.317871,6386.644043,6362.924805,6373.477051,6373.477051
2019,7,8,19,6360.213867,6367.361816,6324.721191,6351.827148,6351.827148
2019,7,9,19,6351.484863,6388.323242,6351.422852,6388.323242,6388.323242
2019,7,10,19,6393.189941,6412.824219,6393.189941,6410.683105,6410.683105
2019,7,11,19,6424.628906,6434.908203,6397.222168,6417.065918,6417.065918
2019,7,12,19,6414.198242,6425.317871,6369.496094,6373.345215,6373.345215
2019,7,15,19,6408.308105,6439.192871,6405.450195,6418.233887,6418.233887
2019,7,16,19,6414.729004,6428.268066,6389.397949,6401.879883,6401.879883
2019,7,17,19,6395.463867,6403.500977,6377.50293,6394.608887,6394.608887
2019,7,18,19,6385.058105,6407.256836,6375.617188,6403.293945,6403.293945
2019,7,19,19,6417.442871,6456.539063,6417.442871,6456.539063,6456.539063
2019,7,22,19,6461.411133,6468.24707,6420.349121,6433.546875,6433.546875
